name,dates,base,base_primary,country,region,type,anno,anno_refit,service,length_ft,cabins,berths,wc,price_eur,original_price_eur,discount,deposit_eur,yacht_id
Bavaria Sport 400HT (Rhea),13.06.2026 - 20.06.2026,"Krk / Punat / Marina Punat, Croazia","Krk / Punat / Marina Punat, Croazia",Croatia,Istria / Kvarner,Barca a motore,2015,,Bareboat,39.0,2,6 (4 + 2),1,5400.0,,,3000.0,5999915930000107179
More 55 (Solid White),13.06.2026 - 20.06.2026,"Pula / Marina Polesana, Croazia","Pula / Marina Polesana, Croazia",Croatia,Istria / Kvarner,Barca a vela,2017,,Bareboat,55.0,6,11 10+1,4,5600.0,,,2500.0,6228372220000106364
Astréa 42 (Jami),13.06.2026 - 20.06.2026,"Pula / Marina Polesana, Croazia","Pula / Marina Polesana, Croazia",Croatia,Istria / Kvarner,Catamarano,2024,,Bareboat,41.0,6,10 8+1+1,4,6109.0,8485.0,"- 28,00 %",4000.0,9504251419104731
Bali 4.6 (MY QUEEN),13.06.2026 - 20.06.2026,"Novi Vinodolski / Marina Novi, Croazia","Novi Vinodolski / Marina Novi, Croazia",Croatia,Istria / Kvarner,Catamarano,2023,,Bareboat,47.0,6,10 (8 + 2 CREW),4,6713.0,9590.0,"- 30,00 %",3000.0,3801527860000104613
Saona 47 (Lucky Alexandra),13.06.2026 - 20.06.2026,"Pula / Tehnomont Marina Veruda, Croazia","Pula / Tehnomont Marina Veruda, Croazia",Croatia,Istria / Kvarner,Catamarano,2018,,Con equipaggio,46.0,4,8,4,7225.0,8500.0,"- 15,00 %",3000.0,7998650564100220
Sealine F430 (Blue Lagoon II ),13.06.2026 - 20.06.2026,"Pula / Tehnomont Marina Veruda, Croazia","Pula / Tehnomont Marina Veruda, Croazia",Croatia,Istria / Kvarner,Yacht a motore,2020,,Bareboat,44.0,3,6,2,7876.0,9845.0,"- 20,00 %",4000.0,4696130847702622
Elba 45 (),13.06.2026 - 20.06.2026,"Pula / Marina Polesana, Croazia","Pula / Marina Polesana, Croazia",Croatia,Istria / Kvarner,Catamarano,2023,,Con equipaggio,44.0,4,8,4,8400.0,,,3000.0,6253535170000107385
Lagoon Power 44 (Monteki),13.06.2026 - 19.06.2026,"Funtana / Marina Funtana, Croazia","Funtana / Marina Funtana, Croazia",Croatia,Istria / Kvarner,Catamarano a motore,2005,,Con equipaggio,43.0,4,8,4,14000.0,,,2000.0,6632311770000107699
Lagoon 51 (Premium),13.06.2026 - 20.06.2026,"Pula / Marina Polesana, Croazia","Pula / Marina Polesana, Croazia",Croatia,Istria / Kvarner,Catamarano,2024,,Con equipaggio,50.0,5,11 (8+2+1),4,18501.0,19475.0,"- 5,00 %",4000.0,7419875850000107999
Ferretti 681 (Dominique),13.06.2026 - 20.06.2026,"Pula / Tehnomont Marina Veruda, Croazia - Dubrovnik / Marina Frapa Dubrovnik, Croazia","Pula / Tehnomont Marina Veruda, Croazia",Croatia,Istria / Kvarner,Yacht a motore,2007,2024,Con equipaggio,70.0,4,8,3,22487.0,,,0.0,7431671650000108004
Eolo 770 Cruiser (Eolo),13.06.2026 - 19.06.2026,"Krk / Punat / Marina Punat, Croazia","Krk / Punat / Marina Punat, Croazia",Croatia,Istria / Kvarner,Barca a motore,2022,,Bareboat,25.0,1,2,1,24000.0,,,1000.0,4856518540000106360
Sunseeker 65 (X2),13.06.2026 - 20.06.2026,"Rijeka, Croazia - Split / Port of Split / West Harbour, Croazia","Rijeka, Croazia",Croatia,Istria / Kvarner,Yacht a motore,2022,,Con equipaggio,74.0,4,6,4,29000.0,,,0.0,7223598550000107879
Bluegame BG74 (Kimani),13.06.2026 - 20.06.2026,"Krk / Punat / Marina Punat, Croazia - Dubrovnik, Croazia","Krk / Punat / Marina Punat, Croazia",Croatia,Istria / Kvarner,Yacht a motore,2025,,Con equipaggio,75.0,3,6,3,44070.0,,,0.0,7319460550000104834
Adria 28 Luxus (Ana),13.06.2026 - 20.06.2026,"Dugi otok / Brbinj, Croazia","Dugi otok / Brbinj, Croazia",Croatia,Zadar,Barca a motore,1991,2016,Bareboat,29.0,2,4,1,950.0,,,900.0,943608610000102283
Dehler 34 (B&B),13.06.2026 - 20.06.2026,"Biograd / Marina Kornati, Croazia","Biograd / Marina Kornati, Croazia",Croatia,Zadar,Barca a vela,1992,,Bareboat,35.0,2,6 (4+2),1,1014.0,1300.0,"- 22,00 %",1000.0,562062540000101637
